Experimental band gap,chemicalFormula,Computed band gap,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
2.1,Dy1N1,0.2115,Dy1 N1,7,66,59,36.5,29.5,7,31,82,51,56.5,25.5,31,14.0067,162.5,148.4933,88.25335,74.24665,14.0067,63.05,1685,1621.95,874.025,810.975,63.05,3,15,12,9,6,3,2,6,4,4,2,2,71,192,121,131.5,60.5,71,1.22,3.04,1.82,2.13,0.91,1.22,2,2,0,2,0,2,0,3,3,1.5,1.5,0,0,0,0,0,0,0,0,10,10,5,5,0,5,12,7,8.5,3.5,5,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,0,0,0,0,0,0,4,4,2,2,0,3,4,1,3.5,0.5,3,14.76875,31.24,16.47125,23.004375,8.235625,14.76875,0,6.437,6.437,3.2185,3.2185,0,0,0,0,0,0,0,194,194,0,194,0,194
1.15,Sb2Se3,0.8567,Sb2 Se3,34,51,17,40.8,8.16,34,85,89,4,87.4,1.92,89,78.96,121.76,42.8,96.08,20.544,78.96,494,903.78,409.78,657.912,196.6944,494,15,16,1,15.6,0.48,16,4,5,1,4.4,0.48,4,120,139,19,127.6,9.12,120,2.05,2.55,0.5,2.35,0.24,2.55,2,2,0,2,0,2,3,4,1,3.6,0.48,4,10,10,0,10,0,10,0,0,0,0,0,0,15,16,1,15.6,0.48,16,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,25.92,31.56,5.64,28.176,2.7072,25.92,0,0.799,0.799,0.4794,0.38352,0.799,0,0,0,0,0,0,14,166,152,74.8,72.96,14
0.404,In1As1,0.305,In1 As1,33,49,16,41,8,33,75,84,9,79.5,4.5,75,74.9216,114.818,39.8964,94.8698,19.9482,74.9216,429.75,1090,660.25,759.875,330.125,429.75,13,15,2,14,1,13,4,5,1,4.5,0.5,4,119,142,23,130.5,11.5,119,1.78,2.18,0.4,1.98,0.2,1.78,2,2,0,2,0,2,1,3,2,2,1,1,10,10,0,10,0,10,0,0,0,0,0,0,13,15,2,14,1,13,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,22.175,24.26,2.085,23.2175,1.0425,22.175,0,0,0,0,0,0,0,0,0,0,0,0,139,166,27,152.5,13.5,139
3.2,Cd1I2,2.4388,Cd1 I2,48,53,5,51.33333333,2.222222222,53,70,96,26,87.33333333,11.55555556,96,112.411,126.90447,14.49347,122.0733133,6.441542222,126.90447,386.85,594.22,207.37,455.9733333,92.16444444,386.85,12,17,5,15.33333333,2.222222222,17,5,5,0,5,0,5,139,144,5,140.6666667,2.222222222,139,1.69,2.66,0.97,2.336666667,0.4311111111,2.66,2,2,0,2,0,2,0,5,5,3.333333333,2.222222222,5,10,10,0,10,0,10,0,0,0,0,0,0,12,17,5,15.33333333,2.222222222,17,0,0,0,0,0,0,0,1,1,0.6666666667,0.4444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6666666667,0.4444444444,1,19.495,43.015,23.52,35.175,10.45333333,43.015,0,1.062,1.062,0.708,0.472,1.062,0,0,0,0,0,0,64,194,130,107.3333333,57.77777778,64
1.32,La2S3,1.0358,La2 S3,16,57,41,32.4,19.68,16,13,88,75,58,36,88,32.065,138.90547,106.84047,74.801188,51.2834256,32.065,388.36,1193,804.64,710.216,386.2272,388.36,3,16,13,10.8,6.24,16,3,6,3,4.2,1.44,3,105,207,102,145.8,48.96,105,1.1,2.58,1.48,1.988,0.7104,2.58,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,3,6,3,4.8,1.44,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.6,4.32,0,0,0,0,0,0,0,2,9,7,4.8,3.36,2,25.786875,36.8975,11.110625,30.231125,5.3331,25.786875,0,2.202,2.202,1.3212,1.05696,2.202,0,0,0,0,0,0,70,194,124,119.6,59.52,70
0.82,Mg3Sb2,0.1553,Mg3 Sb2,12,51,39,27.6,18.72,12,68,85,17,74.8,8.16,68,24.305,121.76,97.455,63.287,46.7784,24.305,903.78,923,19.22,915.312,9.2256,923,2,15,13,7.2,6.24,2,3,5,2,3.8,0.96,3,139,141,2,140.2,0.96,141,1.31,2.05,0.74,1.606,0.3552,1.31,2,2,0,2,0,2,0,3,3,1.2,1.44,0,0,10,10,4,4.8,0,0,0,0,0,0,0,2,15,13,7.2,6.24,2,0,0,0,0,0,0,0,3,3,1.2,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.2,1.44,0,22.89,31.56,8.67,26.358,4.1616,22.89,0,0,0,0,0,0,0,0,0,0,0,0,166,194,28,182.8,13.44,194
1.15,Cu2Te1,0,Cu2 Te1,29,52,23,36.66666667,10.22222222,29,64,90,26,72.66666667,11.55555556,64,63.546,127.6,64.054,84.89733333,28.46844444,63.546,722.66,1357.77,635.11,1146.066667,282.2711111,1357.77,11,16,5,12.66666667,2.222222222,11,4,5,1,4.333333333,0.4444444444,4,132,138,6,134,2.666666667,132,1.9,2.1,0.2,1.966666667,0.08888888889,1.9,1,2,1,1.333333333,0.4444444444,1,0,4,4,1.333333333,1.777777778,0,10,10,0,10,0,10,0,0,0,0,0,0,11,16,5,12.66666667,2.222222222,11,0,1,1,0.6666666667,0.4444444444,1,0,2,2,0.6666666667,0.8888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.4444444444,1,11.07,34.76333333,23.69333333,18.96777778,10.53037037,11.07,0,0.464,0.464,0.1546666667,0.2062222222,0,0,0,0,0,0,0,152,225,73,200.6666667,32.44444444,225
0.19,Pb1Te1,1.0582,Pb1 Te1,52,82,30,67,15,52,81,90,9,85.5,4.5,81,127.6,207.2,79.6,167.4,39.8,127.6,600.61,722.66,122.05,661.635,61.025,600.61,14,16,2,15,1,14,5,6,1,5.5,0.5,5,138,146,8,142,4,138,2.1,2.33,0.23,2.215,0.115,2.1,2,2,0,2,0,2,2,4,2,3,1,2,10,10,0,10,0,10,0,14,14,7,7,0,16,28,12,22,6,16,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,28.11,34.76333333,6.653333333,31.43666667,3.326666667,28.11,0,0.464,0.464,0.232,0.232,0,0,0,0,0,0,0,152,225,73,188.5,36.5,152
0.465,Cd1Sb1,0.0532,Cd1 Sb1,48,51,3,49.5,1.5,48,70,85,15,77.5,7.5,70,112.411,121.76,9.349,117.0855,4.6745,112.411,594.22,903.78,309.56,749,154.78,594.22,12,15,3,13.5,1.5,12,5,5,0,5,0,5,139,144,5,141.5,2.5,139,1.69,2.05,0.36,1.87,0.18,1.69,2,2,0,2,0,2,0,3,3,1.5,1.5,0,10,10,0,10,0,10,0,0,0,0,0,0,12,15,3,13.5,1.5,12,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.5,1.5,0,19.495,31.56,12.065,25.5275,6.0325,19.495,0,0,0,0,0,0,0,0,0,0,0,0,166,194,28,180,14,166
6.1,Ca1O1,3.6919,Ca1 O1,8,20,12,14,6,8,7,87,80,47,40,7,15.9994,40.078,24.0786,28.0387,12.0393,15.9994,54.8,1115,1060.2,584.9,530.1,54.8,2,16,14,9,7,2,2,4,2,3,1,2,66,176,110,121,55,66,1,3.44,2.44,2.22,1.22,1,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,37.77,28.665,23.4375,14.3325,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,118.5,106.5,12
