Experimental band gap,chemicalFormula,Computed band gap,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
3.9,Sn1Cl2,3.1079,Sn1 Cl2,17,50,33,28,14.66666667,17,80,94,14,89.33333333,6.222222222,94,35.453,118.71,83.257,63.20533333,37.00311111,35.453,171.6,505.08,333.48,282.76,148.2133333,171.6,14,17,3,16,1.333333333,17,3,5,2,3.666666667,0.8888888889,3,102,139,37,114.3333333,16.44444444,102,1.96,3.16,1.2,2.76,0.5333333333,3.16,2,2,0,2,0,2,2,5,3,4,1.333333333,5,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,7,14,7,9.333333333,3.111111111,7,0,0,0,0,0,0,1,4,3,2,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,1.333333333,1,24.4975,33.285,8.7875,27.42666667,3.905555556,24.4975,0,2.493,2.493,1.662,1.108,2.493,0,0,0,0,0,0,64,141,77,89.66666667,34.22222222,64
6.37,Rb1I1,3.9541,Rb1 I1,37,53,16,45,8,37,4,96,92,50,46,4,85.4678,126.90447,41.43667,106.186135,20.718335,85.4678,312.46,386.85,74.39,349.655,37.195,312.46,1,17,16,9,8,1,5,5,0,5,0,5,139,220,81,179.5,40.5,139,0.82,2.66,1.84,1.74,0.92,0.82,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,0,10,10,5,5,0,0,0,0,0,0,0,1,17,16,9,8,1,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,43.015,90.7225,47.7075,66.86875,23.85375,43.015,0,1.062,1.062,0.531,0.531,0,0,0,0,0,0,0,64,229,165,146.5,82.5,64
0.6,ZrC,0,Zr1 C1,6,40,34,23,17,6,44,77,33,60.5,16.5,44,12.0107,91.224,79.2133,51.61735,39.60665,12.0107,2128,3823,1695,2975.5,847.5,2128,4,14,10,9,5,4,2,5,3,3.5,1.5,2,76,175,99,125.5,49.5,76,1.33,2.55,1.22,1.94,0.61,1.33,2,2,0,2,0,2,0,2,2,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,0,0,0,0,4,4,2,2,0,0,8,8,4,4,0,0,0,0,0,0,0,4,8,4,6,2,4,5.64,23.195,17.555,14.4175,8.7775,5.64,0,4.496,4.496,2.248,2.248,0,0,0,0,0,0,0,194,194,0,194,0,194
5.15,Fe1I2,0.4522,Fe1 I2,26,53,27,44,12,53,55,96,41,82.33333333,18.22222222,96,55.845,126.90447,71.05947,103.21798,31.58198667,126.90447,386.85,1811,1424.15,861.5666667,632.9555556,386.85,8,17,9,14,4,17,4,5,1,4.666666667,0.4444444444,5,132,139,7,136.6666667,3.111111111,139,1.83,2.66,0.83,2.383333333,0.3688888889,2.66,2,2,0,2,0,2,0,5,5,3.333333333,2.222222222,5,6,10,4,8.666666667,1.777777778,10,0,0,0,0,0,0,8,17,9,14,4,17,0,0,0,0,0,0,0,1,1,0.6666666667,0.4444444444,1,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,1,4,3,2,1.333333333,1,10.73,43.015,32.285,32.25333333,14.34888889,43.015,0,1.062,1.062,0.708,0.472,1.062,0,2.1106628,2.1106628,0.7035542667,0.9380723556,0,64,229,165,119,73.33333333,64
2.6,Sc1N1,0.325,Sc1 N1,7,21,14,14,7,7,11,82,71,46.5,35.5,11,14.0067,44.955912,30.949212,29.481306,15.474606,14.0067,63.05,1814,1750.95,938.525,875.475,63.05,3,15,12,9,6,3,2,4,2,3,1,2,71,170,99,120.5,49.5,71,1.36,3.04,1.68,2.2,0.84,1.36,2,2,0,2,0,2,0,3,3,1.5,1.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,9,9,4.5,4.5,0,0,0,0,0,0,0,3,9,6,6,3,3,14.76875,22.235,7.46625,18.501875,3.733125,14.76875,0,6.437,6.437,3.2185,3.2185,0,0,6.35E-06,6.35E-06,3.18E-06,3.18E-06,0,194,194,0,194,0,194
0.55,PrO,0,Pr1 O1,8,59,51,33.5,25.5,8,17,87,70,52,35,17,15.9994,140.90765,124.90825,78.453525,62.454125,15.9994,54.8,1204,1149.2,629.4,574.6,54.8,3,16,13,9.5,6.5,3,2,6,4,4,2,2,66,203,137,134.5,68.5,66,1.13,3.44,2.31,2.285,1.155,1.13,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,3,3,1.5,1.5,0,5,6,1,5.5,0.5,5,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,11,11,5.5,5.5,0,2,11,9,6.5,4.5,2,9.105,35.675,26.57,22.39,13.285,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,103,91,12
7.69,Mg1O1,4.638,Mg1 O1,8,12,4,10,2,8,68,87,19,77.5,9.5,68,15.9994,24.305,8.3056,20.1522,4.1528,15.9994,54.8,923,868.2,488.9,434.1,54.8,2,16,14,9,7,2,2,3,1,2.5,0.5,2,66,141,75,103.5,37.5,66,1.31,3.44,2.13,2.375,1.065,1.31,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,22.89,13.785,15.9975,6.8925,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,103,91,12
5.493,C,2.6904,C1,6,6,0,6,0,6,77,77,0,77,0,77,12.0107,12.0107,0,12.0107,0,12.0107,3823,3823,0,3823,0,3823,14,14,0,14,0,14,2,2,0,2,0,2,76,76,0,76,0,76,2.55,2.55,0,2.55,0,2.55,2,2,0,2,0,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,5.64,5.64,0,5.64,0,5.64,4.496,4.496,0,4.496,0,4.496,0,0,0,0,0,0,194,194,0,194,0,194
2.59,Cu2O1,0.5127,Cu2 O1,8,29,21,22,9.333333333,29,64,87,23,71.66666667,10.22222222,64,15.9994,63.546,47.5466,47.69713333,21.13182222,63.546,54.8,1357.77,1302.97,923.4466667,579.0977778,1357.77,11,16,5,12.66666667,2.222222222,11,2,4,2,3.333333333,0.8888888889,4,66,132,66,110,29.33333333,132,1.9,3.44,1.54,2.413333333,0.6844444444,1.9,1,2,1,1.333333333,0.4444444444,1,0,4,4,1.333333333,1.777777778,0,0,10,10,6.666666667,4.444444444,10,0,0,0,0,0,0,6,11,5,9.333333333,2.222222222,11,0,1,1,0.6666666667,0.4444444444,1,0,2,2,0.6666666667,0.8888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.4444444444,1,9.105,11.07,1.965,10.415,0.8733333333,11.07,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,154,94.66666667,225
2.13,Hg1I2,1.4602,Hg1 I2,53,80,27,62,12,53,71,96,25,87.66666667,11.11111111,96,126.90447,200.59,73.68553,151.4663133,32.74912444,126.90447,234.32,386.85,152.53,336.0066667,67.79111111,386.85,12,17,5,15.33333333,2.222222222,17,5,6,1,5.333333333,0.4444444444,5,132,139,7,136.6666667,3.111111111,139,2,2.66,0.66,2.44,0.2933333333,2.66,2,2,0,2,0,2,0,5,5,3.333333333,2.222222222,5,10,10,0,10,0,10,0,14,14,4.666666667,6.222222222,0,17,26,9,20,4,17,0,0,0,0,0,0,0,1,1,0.6666666667,0.4444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6666666667,0.4444444444,1,25.23758621,43.015,17.77741379,37.0891954,7.901072797,43.015,0,1.062,1.062,0.708,0.472,1.062,0,0,0,0,0,0,64,166,102,98,45.33333333,64
2.2,Al1As1,1.6871,Al1 As1,13,33,20,23,10,13,73,84,11,78.5,5.5,73,26.9815386,74.9216,47.9400614,50.9515693,23.9700307,26.9815386,933.47,1090,156.53,1011.735,78.265,933.47,13,15,2,14,1,13,3,4,1,3.5,0.5,3,119,121,2,120,1,119,1.61,2.18,0.57,1.895,0.285,1.61,2,2,0,2,0,2,1,3,2,2,1,1,0,10,10,5,5,0,0,0,0,0,0,0,3,15,12,9,6,3,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,16.48,22.175,5.695,19.3275,2.8475,16.48,0,0,0,0,0,0,0,0,0,0,0,0,166,225,59,195.5,29.5,166
1.62,Ce2Se3,0,Ce2 Se3,34,58,24,43.6,11.52,34,15,89,74,59.4,35.52,89,78.96,140.116,61.156,103.4224,29.35488,78.96,494,1071,577,724.8,276.96,494,3,16,13,10.8,6.24,16,4,6,2,4.8,0.96,4,120,204,84,153.6,40.32,120,1.12,2.55,1.43,1.978,0.6864,2.55,2,2,0,2,0,2,0,4,4,2.4,1.92,4,1,10,9,6.4,4.32,10,0,1,1,0.4,0.48,0,4,16,12,11.2,5.76,16,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.6,4.32,0,0,13,13,5.2,6.24,0,2,22,20,10,9.6,2,25.92,37.24,11.32,30.448,5.4336,25.92,0,0.799,0.799,0.4794,0.38352,0.799,0,0,0,0,0,0,14,194,180,86,86.4,14
1.84,Eu2O3,0,Eu2 O3,8,63,55,30,26.4,8,25,87,62,62.2,29.76,87,15.9994,151.964,135.9646,70.38524,65.263008,15.9994,54.8,1095,1040.2,470.88,499.296,54.8,3,16,13,10.8,6.24,16,2,6,4,3.6,1.92,2,66,198,132,118.8,63.36,66,1.185,3.44,2.255,2.538,1.0824,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,0,0,0,0,0,0,7,7,2.8,3.36,0,6,9,3,7.2,1.44,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,7,7,2.8,3.36,0,2,7,5,4,2.4,2,9.105,36.46,27.355,20.047,13.1304,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12
8.5,Rb1Cl1,5.0162,Rb1 Cl1,17,37,20,27,10,17,4,94,90,49,45,4,35.453,85.4678,50.0148,60.4604,25.0074,35.453,171.6,312.46,140.86,242.03,70.43,171.6,1,17,16,9,8,1,3,5,2,4,1,3,102,220,118,161,59,102,0.82,3.16,2.34,1.99,1.17,0.82,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,4,3,1,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24.4975,90.7225,66.225,57.61,33.1125,24.4975,0,2.493,2.493,1.2465,1.2465,0,0,0,0,0,0,0,64,229,165,146.5,82.5,64
3.23,Pb1Br2,2.7342,Pb1 Br2,35,82,47,50.66666667,20.88888889,35,81,95,14,90.33333333,6.222222222,95,79.904,207.2,127.296,122.336,56.576,79.904,265.8,600.61,334.81,377.4033333,148.8044444,265.8,14,17,3,16,1.333333333,17,4,6,2,4.666666667,0.8888888889,4,120,146,26,128.6666667,11.55555556,120,2.33,2.96,0.63,2.75,0.28,2.96,2,2,0,2,0,2,2,5,3,4,1.333333333,5,10,10,0,10,0,10,0,14,14,4.666666667,6.222222222,0,17,28,11,20.66666667,4.888888889,17,0,0,0,0,0,0,1,4,3,2,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,1.333333333,1,28.11,29.48,1.37,29.02333333,0.6088888889,29.48,0,1.457,1.457,0.9713333333,0.6475555556,1.457,0,0,0,0,0,0,64,225,161,117.6666667,71.55555556,64
2.29,Zn1Te1,1.0782,Zn1 Te1,30,52,22,41,11,30,69,90,21,79.5,10.5,69,65.38,127.6,62.22,96.49,31.11,65.38,692.68,722.66,29.98,707.67,14.99,692.68,12,16,4,14,2,12,4,5,1,4.5,0.5,4,122,138,16,130,8,122,1.65,2.1,0.45,1.875,0.225,1.65,2,2,0,2,0,2,0,4,4,2,2,0,10,10,0,10,0,10,0,0,0,0,0,0,12,16,4,14,2,12,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,13.96,34.76333333,20.80333333,24.36166667,10.40166667,13.96,0,0.464,0.464,0.232,0.232,0,0,0,0,0,0,0,152,194,42,173,21,152
1.79,Ho1N1,0.2401,Ho1 N1,7,67,60,37,30,7,33,82,49,57.5,24.5,33,14.0067,164.93032,150.92362,89.46851,75.46181,14.0067,63.05,1747,1683.95,905.025,841.975,63.05,3,15,12,9,6,3,2,6,4,4,2,2,71,192,121,131.5,60.5,71,1.23,3.04,1.81,2.135,0.905,1.23,2,2,0,2,0,2,0,3,3,1.5,1.5,0,0,0,0,0,0,0,0,11,11,5.5,5.5,0,5,13,8,9,4,5,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,0,0,0,0,0,0,3,3,1.5,1.5,0,3,3,0,3,0,3,14.76875,30.73333333,15.96458333,22.75104167,7.982291667,14.76875,0,6.437,6.437,3.2185,3.2185,0,0,0,0,0,0,0,194,194,0,194,0,194
4,As2O3,3.6301,As2 O3,8,33,25,18,12,8,84,87,3,85.8,1.44,87,15.9994,74.9216,58.9222,39.56828,28.282656,15.9994,54.8,1090,1035.2,468.88,496.896,54.8,15,16,1,15.6,0.48,16,2,4,2,2.8,0.96,2,66,119,53,87.2,25.44,66,2.18,3.44,1.26,2.936,0.6048,3.44,2,2,0,2,0,2,3,4,1,3.6,0.48,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,15,9,9.6,4.32,6,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,9.105,22.175,13.07,14.333,6.2736,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,166,154,73.6,73.92,12
3.5,Sn1Br2,2.1959,Sn1 Br2,35,50,15,40,6.666666667,35,80,95,15,90,6.666666667,95,79.904,118.71,38.806,92.83933333,17.24711111,79.904,265.8,505.08,239.28,345.56,106.3466667,265.8,14,17,3,16,1.333333333,17,4,5,1,4.333333333,0.4444444444,4,120,139,19,126.3333333,8.444444444,120,1.96,2.96,1,2.626666667,0.4444444444,2.96,2,2,0,2,0,2,2,5,3,4,1.333333333,5,10,10,0,10,0,10,0,0,0,0,0,0,14,17,3,16,1.333333333,17,0,0,0,0,0,0,1,4,3,2,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,1.333333333,1,29.48,33.285,3.805,30.74833333,1.691111111,29.48,0,1.457,1.457,0.9713333333,0.6475555556,1.457,0,0,0,0,0,0,64,141,77,89.66666667,34.22222222,64
1.7,Rb3Sb1,0.0878,Rb3 Sb1,37,51,14,40.5,5.25,37,4,85,81,24.25,30.375,4,85.4678,121.76,36.2922,94.54085,13.609575,85.4678,312.46,903.78,591.32,460.29,221.745,312.46,1,15,14,4.5,5.25,1,5,5,0,5,0,5,139,220,81,199.75,30.375,220,0.82,2.05,1.23,1.1275,0.46125,0.82,1,2,1,1.25,0.375,1,0,3,3,0.75,1.125,0,0,10,10,2.5,3.75,0,0,0,0,0,0,0,1,15,14,4.5,5.25,1,0,1,1,0.75,0.375,1,0,3,3,0.75,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.5,0.75,1,31.56,90.7225,59.1625,75.931875,22.1859375,90.7225,0,0,0,0,0,0,0,0,0,0,0,0,166,229,63,213.25,23.625,229
6.25,K1I1,4.0433,K1 I1,19,53,34,36,17,19,3,96,93,49.5,46.5,3,39.0983,126.90447,87.80617,83.001385,43.903085,39.0983,336.53,386.85,50.32,361.69,25.16,336.53,1,17,16,9,8,1,4,5,1,4.5,0.5,4,139,203,64,171,32,139,0.82,2.66,1.84,1.74,0.92,0.82,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,0,10,10,5,5,0,0,0,0,0,0,0,1,17,16,9,8,1,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,43.015,73.10666667,30.09166667,58.06083333,15.04583333,43.015,0,1.062,1.062,0.531,0.531,0,0,0,0,0,0,0,64,229,165,146.5,82.5,64
4.1,Sn1O2,1.4068,Sn1 O2,8,50,42,22,18.66666667,8,80,87,7,84.66666667,3.111111111,87,15.9994,118.71,102.7106,50.23626667,45.64915556,15.9994,54.8,505.08,450.28,204.8933333,200.1244444,54.8,14,16,2,15.33333333,0.8888888889,16,2,5,3,3,1.333333333,2,66,139,73,90.33333333,32.44444444,66,1.96,3.44,1.48,2.946666667,0.6577777778,3.44,2,2,0,2,0,2,2,4,2,3.333333333,0.8888888889,4,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,6,14,8,8.666666667,3.555555556,6,0,0,0,0,0,0,2,4,2,2.666666667,0.8888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.666666667,0.8888888889,2,9.105,33.285,24.18,17.165,10.74666667,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,141,129,55,57.33333333,12
1.9,Pr2Se3,1.426,Pr2 Se3,34,59,25,44,12,34,17,89,72,60.2,34.56,89,78.96,140.90765,61.94765,103.73906,29.734872,78.96,494,1204,710,778,340.8,494,3,16,13,10.8,6.24,16,4,6,2,4.8,0.96,4,120,203,83,153.2,39.84,120,1.13,2.55,1.42,1.982,0.6816,2.55,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,10,10,6,4.8,10,0,3,3,1.2,1.44,0,5,16,11,11.6,5.28,16,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,11,11,4.4,5.28,0,2,11,9,5.6,4.32,2,25.92,35.675,9.755,29.822,4.6824,25.92,0,0.799,0.799,0.4794,0.38352,0.799,0,0,0,0,0,0,14,194,180,86,86.4,14
0.36,Mg2Sn1,0,Mg2 Sn1,12,50,38,24.66666667,16.88888889,12,68,80,12,72,5.333333333,68,24.305,118.71,94.405,55.77333333,41.95777778,24.305,505.08,923,417.92,783.6933333,185.7422222,923,2,14,12,6,5.333333333,2,3,5,2,3.666666667,0.8888888889,3,139,141,2,140.3333333,0.8888888889,141,1.31,1.96,0.65,1.526666667,0.2888888889,1.31,2,2,0,2,0,2,0,2,2,0.6666666667,0.8888888889,0,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,2,14,12,6,5.333333333,2,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,22.89,33.285,10.395,26.355,4.62,22.89,0,0,0,0,0,0,0,0,0,0,0,0,141,194,53,176.3333333,23.55555556,194
0.185,Pb1Te1,1.0582,Pb1 Te1,52,82,30,67,15,52,81,90,9,85.5,4.5,81,127.6,207.2,79.6,167.4,39.8,127.6,600.61,722.66,122.05,661.635,61.025,600.61,14,16,2,15,1,14,5,6,1,5.5,0.5,5,138,146,8,142,4,138,2.1,2.33,0.23,2.215,0.115,2.1,2,2,0,2,0,2,2,4,2,3,1,2,10,10,0,10,0,10,0,14,14,7,7,0,16,28,12,22,6,16,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,28.11,34.76333333,6.653333333,31.43666667,3.326666667,28.11,0,0.464,0.464,0.232,0.232,0,0,0,0,0,0,0,152,225,73,188.5,36.5,152
6.2,Mn1S1,0,Mn1 S1,16,25,9,20.5,4.5,16,52,88,36,70,18,52,32.065,54.938045,22.873045,43.5015225,11.4365225,32.065,388.36,1519,1130.64,953.68,565.32,388.36,7,16,9,11.5,4.5,7,3,4,1,3.5,0.5,3,105,139,34,122,17,105,1.55,2.58,1.03,2.065,0.515,1.55,2,2,0,2,0,2,0,4,4,2,2,0,0,5,5,2.5,2.5,0,0,0,0,0,0,0,6,7,1,6.5,0.5,6,0,0,0,0,0,0,0,2,2,1,1,0,0,5,5,2.5,2.5,0,0,0,0,0,0,0,2,5,3,3.5,1.5,2,10.48758621,25.786875,15.29928879,18.1372306,7.649644397,10.48758621,0,2.202,2.202,1.101,1.101,0,0,0.0003101206897,0.0003101206897,0.0001550603448,0.0001550603448,0,70,217,147,143.5,73.5,70
1.2,Sn1Se1,0.8203,Sn1 Se1,34,50,16,42,8,34,80,89,9,84.5,4.5,80,78.96,118.71,39.75,98.835,19.875,78.96,494,505.08,11.08,499.54,5.54,494,14,16,2,15,1,14,4,5,1,4.5,0.5,4,120,139,19,129.5,9.5,120,1.96,2.55,0.59,2.255,0.295,1.96,2,2,0,2,0,2,2,4,2,3,1,2,10,10,0,10,0,10,0,0,0,0,0,0,14,16,2,15,1,14,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,25.92,33.285,7.365,29.6025,3.6825,25.92,0,0.799,0.799,0.3995,0.3995,0,0,0,0,0,0,0,14,141,127,77.5,63.5,14
3.66,Mo1O3,1.6488,Mo1 O3,8,42,34,16.5,12.75,8,50,87,37,77.75,13.875,87,15.9994,95.96,79.9606,35.98955,29.985225,15.9994,54.8,2896,2841.2,765.1,1065.45,54.8,6,16,10,13.5,3.75,16,2,5,3,2.75,1.125,2,66,154,88,88,33,66,2.16,3.44,1.28,3.12,0.48,3.44,1,2,1,1.75,0.375,2,0,4,4,3,1.5,4,0,5,5,1.25,1.875,0,0,0,0,0,0,0,6,6,0,6,0,6,0,1,1,0.25,0.375,0,0,2,2,1.5,0.75,2,0,5,5,1.25,1.875,0,0,0,0,0,0,0,2,6,4,3,1.5,2,9.105,15.69,6.585,10.75125,2.469375,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,66.25,81.375,12
0.025,Ag2Te1,0,Ag2 Te1,47,52,5,48.66666667,2.222222222,47,65,90,25,73.33333333,11.11111111,65,107.8682,127.6,19.7318,114.4454667,8.769688889,107.8682,722.66,1234.93,512.27,1064.173333,227.6755556,1234.93,11,16,5,12.66666667,2.222222222,11,5,5,0,5,0,5,138,145,7,142.6666667,3.111111111,145,1.93,2.1,0.17,1.986666667,0.07555555556,1.93,1,2,1,1.333333333,0.4444444444,1,0,4,4,1.333333333,1.777777778,0,10,10,0,10,0,10,0,0,0,0,0,0,11,16,5,12.66666667,2.222222222,11,0,1,1,0.6666666667,0.4444444444,1,0,2,2,0.6666666667,0.8888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.4444444444,1,16.33,34.76333333,18.43333333,22.47444444,8.192592593,16.33,0,0.464,0.464,0.1546666667,0.2062222222,0,0,0,0,0,0,0,152,225,73,200.6666667,32.44444444,225
3.073,Tl1Br1,2.3494,Tl1 Br1,35,81,46,58,23,35,76,95,19,85.5,9.5,76,79.904,204.3833,124.4793,142.14365,62.23965,79.904,265.8,577,311.2,421.4,155.6,265.8,13,17,4,15,2,13,4,6,2,5,1,4,120,145,25,132.5,12.5,120,1.62,2.96,1.34,2.29,0.67,1.62,2,2,0,2,0,2,1,5,4,3,2,1,10,10,0,10,0,10,0,14,14,7,7,0,17,27,10,22,5,17,0,0,0,0,0,0,1,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,3,2,1,26.91,29.48,2.57,28.195,1.285,26.91,0,1.457,1.457,0.7285,0.7285,0,0,0,0,0,0,0,64,194,130,129,65,64
